,code,trade_year,trade_month,buildfinyear,houseage,buildstyle,area,pricettl,priceper,rooms,manage_y1n0
302,242,107,1,89,18,2,152.16,14000000,92008.0,3,1
303,242,107,1,97,10,3,156.67000000000002,11360000,72509.0,3,1
305,248,106,12,90,16,3,128.22,6000000,46795.0,2,1
306,248,106,12,86,20,3,104.35,8250000,79061.0,4,1
307,242,107,1,85,22,3,143.37,10000000,69750.0,3,1
311,248,107,1,83,24,2,129.2,5000000,38700.0,3,1
313,242,107,1,66,41,1,61.91,4600000,74301.0,2,0
314,242,106,12,72,34,1,70.55,5000000,70872.0,3,0
315,242,106,12,66,40,1,69.17,6300000,91080.0,3,0
322,242,106,12,75,31,1,89.89,6600000,73423.0,4,0
328,236,106,12,76,30,1,78.71,7000000,88934.0,2,0
329,220,107,1,50,57,2,140.05,17700000,126383.0,4,1
330,236,106,12,102,4,3,87.71000000000001,7500000,85509.0,2,1
331,220,106,12,73,33,1,94.79,8380000,88406.0,3,0
332,220,107,1,64,43,1,94.0,8300000,88298.0,3,0
333,220,106,12,69,37,1,82.78,9500000,114762.0,3,1
334,220,107,1,88,19,3,131.05,14000000,106829.0,4,1
336,236,107,2,68,39,1,71.55,6160000,86094.0,3,0
338,220,106,12,98,8,3,145.22,17200000,118441.0,3,1
339,220,106,12,68,38,1,96.2,9700000,100832.0,3,0
340,220,106,12,50,56,1,98.62,8400000,85175.0,3,0
341,220,107,1,85,22,2,96.84,12580000,129905.0,3,1
342,220,107,2,68,39,1,66.23,8000000,120791.0,4,0
344,220,107,1,68,39,1,79.0,8500000,107595.0,3,0
346,220,106,12,50,56,1,113.62,11500000,101215.0,3,0
347,236,107,1,84,23,3,117.28999999999999,13360000,113906.0,3,1
349,244,107,1,98,9,3,295.96999999999997,21280000,71899.0,3,1
350,244,106,12,93,13,3,136.78,12000000,87732.0,3,1
356,244,107,1,83,24,3,134.15,8000000,59635.0,2,1
359,243,107,1,60,47,6,40.47,7500000,185322.0,4,0
361,242,107,2,70,37,1,63.9,3480000,54460.0,2,0
364,231,107,2,96,11,6,191.61,29500000,153959.0,4,0
365,231,106,12,99,7,3,132.1,12780000,96745.0,3,1
366,231,107,1,84,23,3,113.39999999999999,7000000,61728.0,3,0
368,231,107,1,84,23,3,97.29,12520000,128687.0,3,1
369,231,107,1,79,28,1,198.28,9700000,48921.0,4,1
372,231,106,12,94,12,6,263.2,18580000,70590.0,3,1
377,221,107,1,85,22,3,142.57,11000000,77155.0,3,1
379,221,107,1,100,7,3,186.95999999999998,17150000,99165.0,3,1
380,221,107,1,61,46,1,99.42,7500000,75438.0,4,0
381,221,107,1,98,9,3,111.37,10500000,94280.0,3,1
383,251,107,1,83,24,3,130.57999999999998,5800000,44417.0,3,1
384,251,107,1,68,39,1,76.35,3900000,51081.0,3,0
386,252,107,1,84,23,3,46.92,1320000,28133.0,1,1
387,251,107,1,91,16,3,48.84,3550000,72686.0,1,1
388,251,107,1,105,2,3,121.32,8100000,66766.0,3,1
389,251,103,10,106,-3,3,97.87,4680000,61323.0,0,1
390,251,104,4,106,-2,3,114.4,5400000,56180.0,0,1
392,251,106,10,105,1,3,220.71,12900000,61093.0,4,1
396,241,107,1,83,24,2,36.62,3900000,106499.0,1,1
